2026-03-13 01:10:47.583 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:14ms 获取用户上传文件成功
2026-03-13 01:13:00.154 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-03-13 01:13:00.213 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-03-13 01:13:00.353 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:34ms 获取用户上传文件成功
2026-03-13 01:13:14.005 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:85ms 登录成功
2026-03-13 01:13:14.029 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:13:14.067 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:13:14.134 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:24ms 获取用户上传文件成功
2026-03-13 01:13:23.916 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:70ms 登录成功
2026-03-13 01:13:24.111 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:8ms 获取用户信息成功
2026-03-13 01:13:24.248 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:13:24.454 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:17ms 获取用户上传文件成功
2026-03-13 01:13:46.900 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:13:46.940 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:6ms 获取用户信息成功
2026-03-13 01:13:47.126 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:17ms 获取用户上传文件成功
2026-03-13 01:13:50.608 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:71ms 登录成功
2026-03-13 01:13:50.629 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:13:50.665 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:7ms 获取用户信息成功
2026-03-13 01:13:51.048 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:30ms 获取对话历史成功
2026-03-13 01:13:52.558 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:13:52.972 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:28ms 管理员查询对话历史成功
2026-03-13 01:13:53.075 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:13:53.864 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:15ms 获取用户上传文件成功
2026-03-13 01:13:54.366 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:13:55.776 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:13:56.126 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:14ms 获取用户上传文件成功
2026-03-13 01:14:14.410 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:69ms 登录成功
2026-03-13 01:14:14.731 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:14:14.984 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:14:15.071 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:12ms 获取用户上传文件成功
2026-03-13 01:32:24.248 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:344ms 登录成功
2026-03-13 01:32:24.284 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:32:24.617 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2026-03-13 01:32:24.709 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:22ms 获取用户上传文件成功
2026-03-13 01:32:36.968 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:64ms 文档编辑成功
2026-03-13 01:32:37.170 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:16ms 获取用户上传文件成功
2026-03-13 01:32:40.688 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2026-03-13 01:32:40.718 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2026-03-13 01:32:40.848 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:17ms 获取用户上传文件成功
2026-03-13 01:32:52.431 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPDATE_DOCUMENT] 耗时:26ms 文档编辑成功
